c_ClaveProdServ	Descripción
01010101	No existe en el catálogo
10101500	Animales vivos de granja
10101501	Gatos vivos
10101502	Perros
10101504	Visón
10101505	Ratas
10101506	Caballos
10101507	Ovejas
10101508	Cabras
10101509	Asnos
10101510	Ratones
10101511	Cerdos
10101512	Conejos
10101513	Cobayas o conejillos de indias
10101514	Primates
10101515	Armadillos
10101516	Ganado vacuno
10101517	Camellos
10101600	Pájaros y aves de corral vivos
10101601	Pollos vivos
10101602	Patos vivos
10101603	Pavos vivos
10101604	Gansos vivos
10101605	Faisanes vivos
10101700	Peces vivos
10101701	Salmones vivos
10101702	Trucha viva
10101703	Tilapia viva
10101704	Carpa viva
10101705	Anguilas vivas
10101800	Mariscos e invertebrados acuáticos vivos
10101801	Camarón vivo
10101802	Almejas vivas
10101803	Mejillones vivos
10101804	Ostras vivas
10101805	Cangrejos vivos
10101806	Abulones vivos
10101807	Pulpo vivo
10101808	Calamar vivo
10101809	Sanguijuelas
10101900	Insectos vivos
10101901	Mariposas
10101902	Escarabajos
10101903	Abejas
10101904	Gusanos de seda
10102000	Animales salvajes vivos
10102001	Elefantes
10102002	Zorros vivos
10102100	Huevos de aves para incubar
10111300	Accesorios, equipo y tratamientos para los animales domésticos
10111301	Juguetes para mascotas
10111302	Productos para el aseo y cuidado de mascotas
10111303	Equipo para el manejo de desperdicios de las mascotas
10111304	Tazones o equipo para alimentación de mascotas
10111305	Tratamientos medicados para mascotas
10111306	Kits para el entrenamiento de mascotas domésticas
10111307	Cobijas para mascotas
10121500	Pienso para ganado
10121501	Salvado de trigo puro
10121502	Avena para forraje
10121503	Maíz para forraje
10121504	Sorgo para forraje
10121505	Heno
10121506	Tortas oleaginosas
10121507	Forraje compuesto
10121600	Alimento para pájaros y aves de corral
10121601	Alimento vivo para aves
10121602	Alpiste
10121603	Botanas o comida recreacional para aves
10121604	Alimento avícola
10121700	Alimento para peces
10121701	Salmuera fresca o congelada
10121702	Alimento granulado para peces
10121703	Alimento en hojuelas para peces
10121800	Alimento para perros y gatos
10121801	Comida seca para perros
10121802	Comida húmeda para perros
10121803	Leche para perros o gatos
10121804	Comida seca para gatos
10121805	Comida húmeda para gatos
10121806	Botanas o comida recreacional para gatos o perros
10121900	Alimento para roedores
10121901	Comida granulada para roedores
10122000	Alimento para reptiles
10122001	Comida granulada para reptiles
10122002	Comida húmeda para reptiles
10122003	Comida viva para reptiles
10122100	Comida para animales variados
10122101	Comida para cerdos
10122102	Comida para visones
10122103	Comida para monos
10122104	Comida para conejos
10131500	Cobertizos para animales
10131506	Establos para ganado
10131507	Casas para mascotas domesticadas
10131508	Camas para mascotas
10131600	Recipientes para animales
10131601	Jaulas o sus accesorios
10131602	Perreras
10131603	Equipaje para el transporte de animales
10131604	Correas para perros
10131700	Hábitat para animales
10131701	Terrarios
10131702	Acuarios
10141500	Talabartería
10141501	Sillas de montar
10141502	Fustas y látigos
10141503	Herraduras para caballo
10141504	Herraduras para mula
10141505	Sillín o pelero
10141600	Arneses
10141601	Bridas
10141602	Yugos
10141603	Bocados para caballos
10141604	Riendas
10141605	Estribos
10141606	Correas o traíllas
10141607	Arneses de cuello para animales
10141608	Arneses o sus accesorios
10141609	Sujetadores
10141610	Bozales
10141611	Soportes para correas
10151500	Semillas y plántulas vegetales
10151501	Semillas o plántulas de fríjol
10151502	Semillas o plántulas de zanahoria
10151503	Semillas o plántulas de apio
10151504	Semillas o plántulas de chiles
10151505	Semillas o plántulas de calabacín
10151506	Semillas o plántulas de alverja
10151507	Semillas o plántulas de pepino cohombro
10151508	Semillas o plántulas de berenjena
10151509	Semillas o plántulas de endivias
10151510	Semillas o plántulas de ajo
10151511	Semillas o plántulas de puerro
10151512	Semillas o plántulas de lechuga
10151513	Semillas o plántulas de maíz
10151514	Semillas o plántulas de melón
10151515	Semillas o plántulas cebolla
10151516	Semillas o plántulas de soya
10151517	Semillas o plántulas de espinaca
10151518	Semillas o plántulas de tomate
10151519	Semillas o plántulas de nabo
10151520	Semillas o plántulas de acelga
10151521	Semillas o plántulas de pimiento morrón
10151522	Semillas o plántulas de remolacha
10151523	Semillas o plántulas de coliflor
10151524	Semillas o plántulas de perejil
10151525	Semillas o plántulas de brócoli
10151526	Semillas o plántulas de repollo
10151527	Semillas o plántulas de papa
10151528	Semillas o plántulas de batata
10151529	Semillas o plántulas de calabaza
10151530	Semillas o plántulas de rábano
10151531	Semillas o plántulas de repollitos de bruselas
